,1,,2,,3,,,1,2,,1,2,,3,,4,,1,2,3,4,5,6,,1,2,3,4,5,6,7,8,9,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bio Tank,,,,Clarifier,,,Conductivity,,,SS/MLSS/MLVSS,,,,,,,COD,,,,online instrument indication,,,ETU ,,,,,,,,,,TOC（after filter）,,,,,,,Sludge Level,,,,,,,,,,,,,,,,,,,,,,,,,
,East C-removal,,East N-removal,,Final Sump,,,pre-setting 2nd end,EQ Tank by Lab,,Pre-setting 2nd end,"Bio Tank (East)
Continuous",,"Bio Tank (East)
Continuous",,Discharge Pit Mix,,pre-setting 2nd end,EQ Tank,"Bio Tank (E)
 Continuous",,COD online instrument indication,TOC online indication(average),,pre-setting 2nd end,pre-setting 2nd end,Oxidation tank overflow/4th end,Oxidation tank overflow/4th end,EQ-tank,EQ-tank,East C-removal ,East N-removal ,"Discharge Pit
",,pre-setting 2nd end,"Sanitary waste water pit after screen
",EQ-tank ,East C-removal ,East N-removal ,Discharge Pit,,Clarifier,,,,,,,,,,,,,,,,,,,,,,,,,
,Temp,DO PORTABLE,Temp,DO PORTABLE,Temp,DO,,,,,,East C-removal,,East N-removal,,,,,,East C-removal,East N-removal,Discharge pit,Discharge pit,,,,,,,,,,,,预沉池第2格末端,生活污水井格栅后水样,均衡池,东生化除炭工段,东生化除氮工段,放流池,,,,,,,,,,,,,,,,,,,,,,,,,,,
,°C,mg/L,°C,mg/L,°C,mg/L,,ms/cm,ms/cm,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,,mg/L,mg/L,,mg/L,mg/L,mg/L,,5:00 AM Daily ,5:00 PM Daily ,5:00 AM Daily ,5:00 PM Daily ,5:00 AM Daily ,5:00 PM Daily ,Daily,Daily,Daily,,5:00 AM Daily ,5:00 AM  Friday,5:00 AM Daily ,As needed,5:00 AM Daily, 5:00 AM Daily/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequecy,Daily,Portable,Daily,Portable,Daily,Daily,, 5:00 AM  Monday/Wednsday/Friday ,   5:00 AM  Monday/Wednsday/Friday,,5:00 AM/Daily,5:00 AM/Daily,5:00 AM/Daily,5:00 AM/Daily,5:00 AM/Daily,5:00 AM/Daily,,5:00 AM/ daily,5:00 AM/daily,As neeed,"5:00 AM/
 Monday/Tuesday/Friday/Sunday",,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date                 ,,4~7mg/L,,4~7mg/L,,<2mg/L,,,,,SS,MLSS,MLVSS,MLSS,MLVSS,SS  ≤200,,<1500,<500,,after needle filtration,取样时显示值 no filtration,,,<600,<600,<100,<100,<50,<50,<3,<3,<3,,<400,<100,<170,,<30,<30,,1m,2m,3m,4m,,,,,,,,,,,,,,,,,,,,,,
1/01/2019,30,91,7,13,30,57,0,34,30,4,0,47,,,,,35,6200,5100,5900,4700,147,,1006,367,,,139,46,30,,320,0,332,0,1,98,3,1,3,32,3,20,<0.01,<0.01,<0.01,,214,90,,109,20,,12,68,11,86,,40,50,55,60,,,,,
2/01/2019,32,20,6,69,32,10,0,34,32,0,0,46,,66,60,37,10,,34,6400,5300,7100,6000,148,,1031,345,,46,164,54,83,,320,0,313,0,3,91,1,25,2,67,2,25,<0.01,<0.01,<0.01,,223,80,,106,60,,11,58,9,95,,40,45,50,60,,,
3/01/2019,32,6,7,2,32,0,0,32,31,96,0,45,,,,,36,7100,6500,6600,5700,143,,919,314,,,155,51,62,,352,0,362,0,3,26,1,73,2,80,2,27,<0.01,<0.01,0,10,,231,30,,102,80,,11,22,9,91,,45,50,55,60,,,,
4/01/2019,32,90,5,58,32,73,0,33,32,24,0,50,,64,20,37,60,,34,7700,7000,6600,5900,143,,1001,410,,14,119,39,63,,346,0,327,0,1,76,1,91,2,1,1,56,0,6,0,9,0,4,,230,80,4,109,30,,12,77,10,53,,40,45,50,60
5/01/2019,33,56,5,45,33,21,0,32,33,12,0,49,,,,,36,7200,5900,6100,5300,135,,1034,398,,,135,45,14,,351,0,365,0,1,51,2,13,1,30,1,20,<0.01,<0.01,<0.01,,227,30,,106,30,,11,61,10,50,,45,50,55,60,,,,,
6/01/2019,33,69,5,89,33,60,0,31,33,4,0,53,,,,,31,6900,5900,6700,5800,122,,1020,354,,38,140,46,60,,424,0,361,0,1,77,1,32,1,41,1,11,0,7,0,5,0,4,,244,20,,107,0,,11,81,9,46,,35,40,55,60,,
7/01/2019,33,64,6,55,33,29,0,30,33,4,0,41,,67,80,37,80,,31,6600,5500,5800,4800,143,,947,371,,58,126,42,7,,368,0,,1,1,,1,18,,<0.01,<0.01,0,67,,227,0,,108,60,,11,92,18,26,,40,45,45,55,,,,,
8/01/2019,33,57,6,91,33,25,0,31,33,2,0,48,,,,,35,6700,5700,6000,5100,142,,966,317,,,131,43,80,,411,0,374,0,2,89,2,40,1,97,1,69,<0.01,<0.01,0,11,,233,70,,113,30,,11,77,9,92,,35,40,40,55,,,,
