,Fw_to_EQ,Fw_EQ_to_BIO,Fw_to_BIO,Fw_efl,EQ_COD,BT_N_COD,D_COD_ON,BT_C_MLSS,BT_C_MVLSS,BT_N_MLSS,BT_N_MVLSS,D_SS,OxT_PH_AM,OxT_PH_PM,EQ_PH,BT_N_PH,D_PH,BT_N_DO,BT_C_DO
Fw_to_EQ,1.0,0.0863588417174348,0.09001649166312846,0.1747739590533975,0.11951340803266002,-0.07869738416122797,-0.36420045547511354,0.36117614876228143,0.21655458857945192,-0.15955528130210578,-0.2566753146100025,-0.33095104702585654,0.3666612102320572,0.39808346733154754,0.615253614284423,0.05996956608811703,-0.35709572292187086,-0.38739127607171153,-0.18454205082271535
Fw_EQ_to_BIO,0.0863588417174348,1.0,0.20325032116927244,0.6899890029955766,-0.33655946261372777,0.10592287339488936,0.47702853997866534,-0.462533215277263,-0.5085247049382696,0.07138509663753308,-0.010015783329313735,0.5098826549318592,-0.025384397284226125,-0.042445655055838985,0.023015112392181503,-0.255431890296729,-0.20537646921981526,-0.2822412081736545,-0.10154622981631058
Fw_to_BIO,0.09001649166312846,0.20325032116927244,1.0,0.16724330055696174,-0.3175993183700696,-0.4459460056381694,0.03289929045954831,0.046060864289057354,0.03629203446775016,0.04595545557899497,0.02301393584425813,-0.06807545593480031,-0.013307822384767439,-0.01624059513554958,0.09233258894597624,-0.13521358329728103,-0.11383648941363878,-0.0827826960148681,-0.20362067783132523
Fw_efl,0.1747739590533975,0.6899890029955766,0.16724330055696174,1.0,-0.16099977944362945,-0.13967396677614705,0.27624238675217333,-0.15102930731128125,-0.18788524768463738,-0.05671120662382251,-0.16398953140704256,0.02757021950519272,-0.027978518333991873,0.16781092464422442,0.15117392410595562,-0.2642928314266001,-0.0966631686847347,-0.06838700469592242,-0.033170784868948026
EQ_COD,0.11951340803266002,-0.33655946261372777,-0.3175993183700696,-0.16099977944362945,1.0,-0.409685024931938,0.026977067401147123,0.5974445061873969,0.5265916699919435,-0.24963449338536103,-0.28400862627760864,-0.12621254437349133,-0.010101957524385415,0.14159089501724267,-0.06979198597585524,0.2986576789453051,0.057150522457875705,-0.09319201166339085,-0.1870201195102984
BT_N_COD,-0.07869738416122797,0.10592287339488936,-0.4459460056381694,-0.13967396677614705,-0.409685024931938,1.0,-0.06458465562718677,-0.5142062445089266,-0.575953016770946,0.10883494245776597,0.12464349851219872,0.23090856594315246,-0.056427290253452965,0.11430472617242647,0.0967047035209222,-0.12287339851412518,-0.1371201045310768,0.1408582067336554,0.2509209229457364
D_COD_ON,-0.36420045547511354,0.47702853997866534,0.03289929045954831,0.27624238675217333,0.026977067401147123,-0.06458465562718677,1.0,-0.23485719503479935,-0.29910907767893286,0.04949659953409269,0.04476904636158301,0.3485773051754933,-0.1641798715540402,-0.24647778585002458,-0.07948518706834443,-0.2367637105354135,0.09032881457681595,-0.09065604346975244,-0.15752965192206939
BT_C_MLSS,0.36117614876228143,-0.462533215277263,0.046060864289057354,-0.15102930731128125,0.5974445061873969,-0.5142062445089266,-0.23485719503479935,1.0,0.9306025288408606,-0.40701120564698456,-0.46302189654820985,-0.3631770320143211,0.40886340907523616,0.30255807185148764,0.22774388231104742,0.2640006299668292,0.00658705348689551,-0.049885477425977424,-0.08873652529248748
BT_C_MVLSS,0.21655458857945192,-0.5085247049382696,0.03629203446775016,-0.18788524768463738,0.5265916699919435,-0.575953016770946,-0.29910907767893286,0.9306025288408606,1.0,-0.3745426971910988,-0.31798330262206426,-0.3665064109751254,0.400422872103213,0.19114357494255732,0.014365805771267916,0.1743198500897267,0.12728233286965043,-9.514224680936935e-17,-0.11928827651385336
BT_N_MLSS,-0.15955528130210578,0.07138509663753308,0.04595545557899497,-0.05671120662382251,-0.24963449338536103,0.10883494245776597,0.04949659953409269,-0.40701120564698456,-0.3745426971910988,1.0,0.8539411826117185,0.024263821514526936,-0.47388441767574013,-0.4421445377337195,0.12804865512344007,-0.09256947248203336,0.18167281262030954,-0.232677963207258,-0.07808740851541442
BT_N_MVLSS,-0.2566753146100025,-0.010015783329313735,0.02301393584425813,-0.16398953140704256,-0.28400862627760864,0.12464349851219872,0.04476904636158301,-0.46302189654820985,-0.31798330262206426,0.8539411826117185,1.0,0.015513532125012485,-0.485051575750188,-0.3788577834905475,-0.06408471917534128,-0.29916280874498424,0.19610656580217511,-0.062311542868846194,-0.17174453300866369
D_SS,-0.33095104702585654,0.5098826549318592,-0.06807545593480031,0.02757021950519272,-0.12621254437349133,0.23090856594315246,0.3485773051754933,-0.3631770320143211,-0.3665064109751254,0.024263821514526936,0.015513532125012485,1.0,0.03503960511674073,-0.1481016513187791,-0.20253946726033847,-0.10453175470676575,0.3173980993738467,-0.1512672676310722,-0.08873783242736481
OxT_PH_AM,0.3666612102320572,-0.025384397284226125,-0.013307822384767439,-0.027978518333991873,-0.010101957524385415,-0.056427290253452965,-0.1641798715540402,0.40886340907523616,0.400422872103213,-0.47388441767574013,-0.485051575750188,0.03503960511674073,1.0,0.4997692336301897,0.15757703773748305,0.11790012294683828,0.016735556162113967,-0.15989129422081078,0.011967351736326586
